Recipe ID,Calories,Fat,Trans Fat,Saturated Fat,Mono Unsaturated Fat,Poly Unsaturated Fat,Protein,Cholesterol,Carbohydrates,Net Carbohydrates,Alcohol,Fiber,Sugar,Sodium,Caffein,Manganese,Potassium,Magnesium,Calcium,Copper,Zinc,Phosphorus,Fluoride,Choline,Iron,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Folate,Folic Acid,Iodine,Selenium
11,416.23,29.47,NULL,14.78,NULL,NULL,27.52,272.94,12.76,9.16,0.0,3.6,4.7,798.54,NULL,0.72,860.59,73.29,406.42,0.59,3.81,438.97,NULL,NULL,5.01,5708.18,0.25,0.97,3.56,2.27,0.41,1.36,23.45,1.44,3.36,288.98,178.51,NULL,NULL,48.43
12,390.23,29.58,NULL,9.1,NULL,NULL,19.3,347.71,15.73,9.26,0.0,6.48,7.85,800.17,NULL,0.58,772.39,56.47,193.33,0.53,2.76,359.93,NULL,NULL,7.03,4421.34,0.41,0.83,2.96,2.25,0.58,0.87,92.04,2.03,6.65,131.48,194.54,NULL,NULL,34.35
13,281.89,20.28,NULL,7.56,NULL,NULL,19.97,348.84,5.43,3.47,0.0,1.96,0.97,483.86,NULL,0.66,488.79,73.03,296.57,0.18,2.13,318.84,NULL,NULL,3.43,8066.17,0.11,0.64,0.57,1.52,0.32,0.99,12.24,1.86,3.46,303.59,164.69,NULL,NULL,36.07
14,598.16,43.2,NULL,18.09,NULL,NULL,41.6,726.36,8.53,8.49,0.0,NULL,3.76,1328.36,NULL,0.27,482.84,48.06,518.35,0.17,4.93,695.21,NULL,NULL,3.71,1508.86,0.19,1.11,1.65,3.38,0.47,2.98,NULL,4.76,2.36,11.47,88.26,NULL,NULL,76.2
15,399.09,32.24,NULL,10.15,NULL,NULL,20.21,355.61,8.25,6.76,0.0,1.49,3.94,327.2,NULL,0.26,511.34,37.47,274.36,0.28,2.59,371.1,NULL,NULL,2.74,1847.45,0.12,0.72,1.99,2.2,0.34,1.1,20.1,2.01,3.7,51.77,82.46,NULL,NULL,39.51
16,237.3,17.03,NULL,6.75,NULL,NULL,16.54,295.13,5.28,3.82,0.0,1.46,2.24,647.63,NULL,0.35,469.39,44.7,225.91,0.26,1.76,298.08,NULL,NULL,2.61,3404.84,0.1,0.64,2.06,1.98,0.28,0.84,10.24,1.66,2.02,147.77,105.99,NULL,NULL,30.76
17,260.57,19.25,NULL,8.84,NULL,NULL,17.1,232.94,5.92,3.5,0.0,2.41,2.45,590.49,NULL,0.24,321.15,33.77,320.47,0.25,1.9,316.31,NULL,NULL,3.66,1481.03,0.18,0.49,1.13,1.25,0.22,0.76,8.73,1.3,2.4,45.31,81.04,NULL,NULL,24.31
18,337.05,28.01,NULL,10.66,NULL,NULL,18.14,1262.17,2.15,2.13,0.0,NULL,1.34,273.59,NULL,0.07,316.73,24.56,94.26,0.09,1.99,312.95,NULL,NULL,5.4,1213.89,0.22,0.57,0.29,2.63,0.35,7.61,NULL,2.43,2.15,1.47,112.68,NULL,NULL,51.26
19,375.62,30.19,NULL,4.84,NULL,NULL,16.02,334.92,11.86,9.05,0.0,2.8,2.94,190.3,NULL,0.26,348.68,23.87,80.47,0.25,1.66,253.84,NULL,NULL,2.6,3815.17,0.15,0.58,2.0,2.03,0.33,0.86,9.77,1.84,3.58,11.41,62.01,NULL,NULL,33.64
20,430.24,2.04,NULL,0.79,NULL,NULL,11.36,3.64,91.33,88.34,0.0,2.99,19.34,602.56,NULL,0.66,176.34,25.85,52.63,0.17,0.96,141.12,NULL,NULL,4.5,NULL,0.92,0.58,6.21,0.72,0.08,0.12,NULL,0.39,NULL,NULL,209.78,NULL,NULL,32.69
21,314.02,19.99,NULL,3.64,NULL,NULL,14.59,163.68,21.97,15.73,0.0,6.24,3.77,521.41,NULL,2.26,1238.42,168.81,251.07,0.36,2.1,249.6,NULL,NULL,6.4,16706.73,0.29,0.58,2.9,1.05,0.55,0.39,57.13,0.88,6.43,836.81,371.57,NULL,NULL,22.91
22,363.34,7.05,NULL,3.15,NULL,NULL,11.56,17.64,72.16,64.69,0.0,7.47,46.25,185.96,NULL,1.0,715.69,66.49,263.58,0.22,2.62,327.52,NULL,NULL,3.98,553.77,0.51,0.77,5.52,2.85,0.69,2.53,8.85,1.34,3.46,5.66,115.33,NULL,NULL,12.61
23,440.15,23.33,NULL,12.0,NULL,NULL,26.45,60.0,31.61,26.54,0.0,5.07,1.66,708.46,NULL,1.54,376.54,85.04,470.18,0.22,3.83,461.9,NULL,NULL,2.4,1136.98,0.22,0.62,0.79,0.84,0.12,0.69,4.52,0.36,1.13,52.99,43.61,NULL,NULL,41.04
24,554.16,11.56,NULL,1.65,NULL,NULL,21.86,4.9,94.62,89.43,0.0,5.19,61.84,215.85,NULL,1.71,983.51,109.21,549.63,0.31,3.76,579.78,NULL,NULL,3.38,417.5,0.32,0.72,1.39,1.98,0.23,1.54,5.3,NULL,2.35,8.63,54.07,NULL,NULL,19.54
25,236.51,11.98,NULL,4.59,NULL,NULL,16.63,0.0,18.93,14.09,0.0,4.83,8.85,219.56,NULL,0.44,623.21,43.69,261.7,0.18,0.59,81.93,NULL,NULL,3.93,1942.03,0.12,0.1,1.49,0.35,0.42,NULL,88.81,NULL,1.13,38.19,58.97,NULL,NULL,NULL
26,583.22,42.57,NULL,3.69,NULL,NULL,18.19,0.0,40.29,28.72,0.34,11.57,12.8,6.91,NULL,2.84,674.66,253.5,222.58,0.85,3.0,442.41,NULL,NULL,3.73,116.04,0.27,0.98,2.91,0.53,0.13,NULL,3.15,NULL,19.32,6.17,39.63,NULL,NULL,9.84
27,260.63,11.1,NULL,6.26,NULL,NULL,11.71,40.26,29.99,27.23,0.17,2.76,26.75,128.78,NULL,0.36,602.97,51.19,426.23,0.07,1.59,354.25,NULL,NULL,0.35,599.13,0.21,0.49,0.72,1.4,0.24,1.81,21.06,3.69,0.67,9.72,13.6,NULL,NULL,6.61
28,419.86,9.3,NULL,1.74,NULL,NULL,6.32,0.0,88.24,83.96,0.0,4.28,17.69,71.7,NULL,0.63,1001.11,56.53,60.47,0.17,0.62,124.58,NULL,NULL,4.84,84.62,0.07,0.12,2.95,0.55,0.46,NULL,123.26,NULL,1.77,7.69,36.18,NULL,NULL,1.7
29,271.21,3.77,NULL,0.67,NULL,NULL,8.06,13.64,53.66,47.07,0.12,6.59,14.76,216.6,NULL,2.17,265.09,82.01,37.15,0.25,2.0,235.49,NULL,NULL,2.52,1366.21,0.29,0.12,1.35,0.65,0.13,NULL,1.08,NULL,0.44,2.48,24.45,NULL,NULL,22.4
30,381.92,21.23,NULL,1.95,NULL,NULL,10.38,0.0,42.77,31.86,0.0,10.91,4.18,2345.04,NULL,4.15,437.12,116.89,106.7,0.78,2.39,264.4,NULL,NULL,3.62,NULL,0.39,0.11,1.15,0.9,0.26,NULL,9.39,NULL,5.43,8.67,48.73,NULL,NULL,12.66
31,305.09,17.36,NULL,14.45,NULL,NULL,4.12,0.0,38.07,33.47,0.69,4.76,25.11,33.51,NULL,0.84,704.3,75.84,83.84,0.3,0.61,171.76,NULL,NULL,3.43,208.02,0.09,0.17,1.09,0.59,0.31,0.25,15.55,19.67,0.35,3.19,27.87,NULL,NULL,NULL
32,366.68,17.51,NULL,3.77,NULL,NULL,9.98,0.0,52.69,44.55,0.0,8.13,31.16,154.56,11.5,1.03,816.68,122.85,44.95,0.51,1.42,184.16,NULL,NULL,1.77,77.62,0.1,0.17,5.42,0.87,0.62,NULL,10.35,NULL,3.05,1.38,56.71,NULL,NULL,3.84
33,493.06,34.42,NULL,4.57,NULL,NULL,29.75,0.0,20.32,13.53,0.0,6.79,5.02,1769.95,NULL,0.75,483.62,31.85,428.37,0.37,0.89,107.87,NULL,NULL,6.89,754.96,0.17,0.32,2.74,1.03,0.26,NULL,9.39,NULL,4.3,54.83,57.0,NULL,NULL,6.93
34,135.07,0.83,NULL,0.16,NULL,NULL,1.56,0.0,33.37,30.01,0.0,3.36,28.73,7.52,NULL,0.39,420.67,23.26,27.86,0.17,0.27,36.97,NULL,NULL,0.51,1174.17,0.07,0.08,1.19,0.5,0.19,NULL,69.99,NULL,1.49,18.77,74.81,NULL,NULL,1.0
35,217.83,7.52,NULL,0.81,NULL,NULL,4.43,0.0,34.71,30.64,0.28,4.07,11.73,112.12,NULL,1.36,303.63,80.45,38.22,0.28,1.22,164.65,NULL,NULL,1.34,NULL,0.29,0.15,2.46,0.56,0.42,NULL,3.79,NULL,3.43,1.7,34.54,NULL,NULL,6.67
36,539.84,32.72,NULL,13.69,NULL,NULL,41.02,658.94,20.98,17.1,0.0,3.89,3.63,1494.55,NULL,0.9,689.82,82.27,219.08,0.47,2.79,553.52,NULL,NULL,5.69,3038.12,0.26,0.76,6.93,3.46,0.72,5.0,35.47,22.53,4.02,87.1,138.02,NULL,NULL,85.81
37,899.19,58.89,NULL,21.05,NULL,NULL,42.16,394.05,41.53,38.6,0.0,2.93,2.69,2262.47,NULL,0.47,610.97,105.97,184.73,1.58,10.52,572.05,NULL,NULL,3.52,1389.01,0.33,0.51,3.55,1.93,0.42,14.29,17.6,1.67,2.58,115.27,146.52,NULL,NULL,77.44
38,208.28,8.54,NULL,3.37,NULL,NULL,16.74,43.65,17.65,14.17,0.0,3.48,2.33,131.03,NULL,0.77,580.47,56.37,83.63,0.25,1.15,231.1,NULL,NULL,1.76,549.55,0.26,0.38,5.59,1.41,0.65,1.96,48.74,0.19,0.61,47.09,55.85,NULL,NULL,34.4
39,231.75,12.66,NULL,5.6,NULL,NULL,16.36,188.15,12.39,10.71,0.0,1.68,1.4,567.11,NULL,0.62,202.43,34.18,76.4,0.19,1.19,213.78,NULL,NULL,1.83,450.67,0.14,0.29,3.16,1.22,0.25,1.71,NULL,7.72,1.32,2.85,33.45,NULL,NULL,33.76
40,130.3,5.22,NULL,1.73,NULL,NULL,18.46,194.86,2.14,1.8,0.0,0.33,0.42,347.69,NULL,0.08,286.58,25.79,37.64,0.1,0.87,204.3,NULL,NULL,1.39,297.42,0.05,0.25,2.56,1.0,0.21,1.33,1.15,2.71,0.74,13.39,40.25,NULL,NULL,38.67
41,105.83,7.3,NULL,2.21,NULL,NULL,8.43,245.52,1.03,0.92,0.0,NULL,0.27,466.4,NULL,0.06,100.52,9.1,40.59,0.06,0.87,132.6,NULL,NULL,1.21,423.06,0.03,0.31,NULL,1.02,0.12,0.6,0.87,1.32,0.71,3.94,33.09,NULL,NULL,20.42
42,83.52,7.03,NULL,4.22,NULL,NULL,1.49,34.06,3.84,3.74,0.0,NULL,0.78,82.89,NULL,0.03,NULL,5.96,30.27,NULL,NULL,30.93,NULL,NULL,0.37,233.72,0.04,0.06,0.25,0.15,NULL,0.3,NULL,0.21,0.23,NULL,9.29,NULL,NULL,3.2
43,571.94,39.7,NULL,12.27,NULL,NULL,34.1,552.28,19.87,15.46,0.0,4.41,6.81,876.48,NULL,0.47,1257.21,83.45,136.35,0.7,4.61,565.33,NULL,NULL,5.05,11847.56,0.43,0.96,10.33,4.57,0.84,1.96,18.61,4.12,3.27,427.4,118.79,NULL,NULL,64.8
44,709.03,52.71,NULL,42.62,NULL,NULL,8.21,0.0,64.3,56.03,0.0,8.26,17.47,33.13,NULL,2.14,1063.08,114.6,128.61,0.68,1.81,309.13,NULL,NULL,6.99,3277.92,0.13,0.11,2.32,0.59,0.11,NULL,103.71,NULL,2.32,3.47,52.58,NULL,NULL,15.24
45,133.08,0.52,NULL,0.15,NULL,NULL,1.73,0.0,33.39,30.18,0.0,3.21,19.6,1.81,NULL,0.34,547.0,38.79,12.91,0.12,0.21,36.59,NULL,NULL,0.44,199.52,0.09,0.1,1.03,0.51,0.46,NULL,41.28,NULL,NULL,NULL,42.2,NULL,NULL,1.24
46,151.4,4.87,NULL,0.54,NULL,NULL,2.31,0.0,28.29,24.6,0.0,3.69,14.58,1.35,NULL,0.6,453.28,42.59,15.77,0.2,0.39,49.24,NULL,NULL,0.53,77.84,0.06,0.1,0.86,0.43,0.47,NULL,10.37,NULL,0.17,NULL,30.15,NULL,NULL,1.52
47,137.95,8.15,NULL,3.78,NULL,NULL,9.84,218.24,8.02,4.8,0.0,3.23,4.8,281.93,NULL,0.23,397.36,27.65,60.02,0.2,1.36,175.47,NULL,NULL,3.08,3233.88,0.17,0.44,1.52,1.34,0.39,0.52,99.87,1.17,2.66,40.49,102.27,NULL,NULL,19.82
48,290.66,0.34,NULL,0.04,NULL,NULL,2.35,0.0,76.37,71.11,0.0,5.26,70.79,24.95,NULL,0.16,459.75,28.28,96.69,0.15,0.47,40.81,NULL,NULL,0.69,493.59,0.19,0.12,0.65,0.65,0.16,NULL,106.57,NULL,0.37,3.6,67.66,NULL,NULL,1.54
49,339.94,26.08,NULL,21.46,NULL,NULL,4.36,0.0,28.56,22.62,0.0,5.94,15.21,16.47,NULL,1.26,565.31,86.78,64.15,0.42,1.07,172.24,NULL,NULL,3.86,602.96,0.1,0.08,1.89,0.49,0.32,NULL,25.37,NULL,0.6,2.51,51.88,NULL,NULL,5.92
50,477.24,20.34,NULL,3.1,NULL,NULL,26.93,29.75,51.78,27.99,0.0,23.79,10.55,1335.78,NULL,1.05,1465.81,123.14,103.76,0.67,3.62,390.65,NULL,NULL,6.06,5029.39,0.6,0.35,9.33,3.12,0.96,0.12,34.02,NULL,4.32,95.8,327.55,NULL,NULL,14.97
51,433.82,11.63,NULL,4.47,NULL,NULL,44.24,99.88,40.53,28.62,0.0,11.92,3.49,1253.65,NULL,1.6,1493.78,128.46,386.43,0.66,8.57,469.19,NULL,NULL,12.29,4466.59,0.3,0.49,14.08,1.48,1.59,3.04,22.66,NULL,4.29,145.7,106.7,NULL,NULL,43.7
52,392.8,6.45,NULL,0.96,NULL,NULL,18.13,0.0,69.36,53.11,0.0,16.25,10.19,1111.47,NULL,1.89,1435.41,151.26,118.78,0.64,2.62,369.42,NULL,NULL,6.09,5050.2,0.56,0.27,3.75,1.27,0.64,NULL,45.07,NULL,1.98,47.85,304.87,NULL,NULL,2.85
53,538.7,14.62,NULL,1.97,NULL,NULL,20.86,0.0,84.48,69.7,0.0,14.78,17.87,221.29,NULL,2.57,1149.58,210.24,103.04,1.06,4.11,520.59,NULL,NULL,7.49,385.89,0.53,0.34,2.6,1.51,0.61,NULL,10.76,NULL,2.55,15.16,394.21,NULL,NULL,10.92
54,445.69,4.09,NULL,0.7,NULL,NULL,19.14,0.0,86.11,66.75,0.0,19.36,7.35,1058.31,NULL,1.38,1217.8,122.85,155.55,0.82,2.21,344.99,NULL,NULL,7.13,1122.25,0.46,0.38,4.15,1.31,0.49,NULL,20.47,NULL,3.2,12.29,156.49,NULL,NULL,11.29
55,242.41,1.29,NULL,0.26,NULL,NULL,16.13,0.0,43.37,32.71,0.0,10.66,2.23,206.16,NULL,1.29,1249.79,130.9,172.72,0.68,2.54,212.82,NULL,NULL,7.15,NULL,0.31,0.11,0.37,0.54,0.27,NULL,2.37,NULL,0.24,4.3,265.22,NULL,NULL,9.14
56,586.78,14.04,NULL,3.34,NULL,NULL,65.78,142.88,48.51,34.42,0.0,14.09,8.63,914.69,NULL,1.97,1557.38,153.99,119.56,0.82,6.78,796.96,NULL,NULL,6.77,69.79,1.38,0.59,14.27,2.92,2.14,1.16,4.0,0.91,0.98,8.27,423.57,NULL,NULL,69.19
57,625.07,30.69,NULL,3.32,NULL,NULL,19.85,0.0,71.66,62.1,0.0,9.56,6.45,971.81,NULL,2.77,668.06,216.62,139.72,0.97,3.6,500.43,NULL,NULL,5.58,2019.06,0.42,0.33,1.67,0.88,0.63,NULL,81.79,NULL,3.29,5.16,191.83,NULL,NULL,9.03
58,331.54,9.98,NULL,1.45,NULL,NULL,16.99,0.0,46.27,34.41,0.0,11.86,3.03,432.44,NULL,1.47,1370.21,142.65,241.91,0.75,2.71,231.54,NULL,NULL,7.6,3866.58,0.34,0.19,0.76,0.63,0.34,NULL,25.61,NULL,1.66,95.18,281.59,NULL,NULL,9.66
59,340.11,8.08,NULL,1.13,NULL,NULL,18.31,0.0,50.72,28.2,0.0,22.52,7.6,377.99,NULL,1.07,1094.22,108.47,126.12,0.52,3.52,339.25,NULL,NULL,7.03,9010.42,0.66,0.25,3.16,1.7,0.6,NULL,38.08,NULL,2.55,250.69,344.64,NULL,NULL,5.72
60,594.1,23.79,NULL,9.04,NULL,NULL,34.23,62.32,68.04,50.31,0.0,17.73,14.56,1709.61,NULL,1.03,1306.17,146.82,374.07,0.61,4.13,582.57,NULL,NULL,5.59,1678.71,0.43,0.54,7.56,2.44,0.76,1.33,25.41,0.25,2.73,31.12,170.17,NULL,NULL,22.22
61,382.32,24.91,NULL,3.62,NULL,NULL,34.26,93.55,5.13,3.89,0.0,1.24,0.95,271.27,NULL,0.07,913.16,55.58,40.99,0.47,1.18,352.23,NULL,NULL,1.82,289.42,0.4,0.66,13.53,2.93,1.42,5.41,15.77,NULL,2.17,29.2,52.62,NULL,NULL,62.31
62,492.94,10.28,NULL,4.79,NULL,NULL,19.76,40.36,82.25,70.45,0.0,11.79,10.06,645.28,NULL,0.94,2140.43,116.7,175.48,0.61,1.79,323.9,NULL,NULL,4.98,11734.74,0.46,0.49,8.78,1.3,1.44,NULL,116.86,NULL,1.39,142.51,104.07,NULL,NULL,7.55
63,486.24,4.03,NULL,1.03,NULL,NULL,15.96,7.74,95.36,90.42,0.0,4.94,4.39,404.1,NULL,1.24,569.91,55.87,56.72,0.43,1.77,227.23,NULL,NULL,2.17,4692.01,0.26,0.33,6.48,1.1,0.41,NULL,17.67,NULL,0.22,1.34,47.58,NULL,NULL,19.65
64,719.45,49.33,NULL,11.22,NULL,NULL,26.74,30.0,51.2,33.28,0.0,17.91,4.84,351.63,NULL,1.45,1562.23,192.51,328.36,1.1,4.66,569.56,NULL,NULL,6.78,2186.76,0.38,0.62,4.36,2.29,0.61,0.32,47.92,0.18,7.63,43.74,309.79,NULL,NULL,13.44
65,750.02,19.53,NULL,6.45,NULL,NULL,57.79,161.3,84.81,77.63,0.0,7.18,4.49,355.42,NULL,4.12,1544.21,229.79,165.27,0.52,3.74,786.88,NULL,NULL,5.39,1574.19,0.62,0.35,28.87,4.9,2.47,0.46,46.18,0.23,2.74,73.25,68.54,NULL,NULL,73.93
66,344.33,12.4,NULL,3.62,NULL,NULL,27.77,69.31,28.01,26.12,1.54,1.89,2.85,419.71,NULL,0.59,561.59,56.5,114.45,0.18,1.38,298.1,NULL,NULL,1.7,1258.52,0.12,0.25,5.43,1.15,0.46,2.03,43.32,3.57,2.28,19.02,57.35,NULL,NULL,55.6
67,321.81,12.73,NULL,3.38,NULL,NULL,22.03,55.14,29.95,23.48,0.0,6.47,18.33,341.17,NULL,1.57,905.96,125.0,222.27,0.34,2.28,297.54,NULL,NULL,4.4,5810.33,0.18,0.48,6.06,1.02,0.55,0.4,105.12,NULL,4.25,294.24,168.22,NULL,NULL,19.96
68,495.53,18.41,NULL,2.78,NULL,NULL,38.53,93.5,44.62,35.64,0.0,8.99,10.3,121.03,NULL,0.87,1933.31,115.67,110.45,0.73,2.16,505.5,NULL,NULL,3.82,5570.94,0.61,0.77,15.84,3.87,1.96,5.41,58.27,NULL,2.99,36.24,141.09,NULL,NULL,64.49
69,409.46,29.97,NULL,9.11,NULL,NULL,26.63,68.93,11.65,6.81,0.0,4.84,3.15,267.49,NULL,0.57,731.23,61.97,126.05,0.38,6.78,250.63,NULL,NULL,6.88,2318.92,0.3,0.48,7.1,0.48,0.69,1.88,34.59,NULL,3.92,322.85,99.83,NULL,NULL,31.18
70,564.44,35.11,NULL,9.87,NULL,NULL,43.55,163.83,21.44,10.38,0.0,11.06,3.4,399.78,NULL,1.25,810.31,111.92,397.54,0.29,3.63,374.83,NULL,NULL,10.59,1276.2,0.2,0.41,16.13,2.27,1.1,0.67,8.08,0.44,5.65,144.21,76.64,NULL,NULL,33.03
71,865.11,67.55,NULL,25.52,NULL,NULL,46.3,210.44,24.25,18.43,0.0,5.81,7.35,674.14,NULL,1.65,1874.54,147.07,210.18,0.72,2.41,536.18,NULL,NULL,5.87,14479.94,0.61,1.12,17.01,3.93,2.01,6.5,86.02,1.21,6.04,385.52,231.69,NULL,NULL,77.52
72,634.9,43.94,NULL,10.28,NULL,NULL,43.87,123.5,18.47,12.61,0.0,5.87,7.77,1535.31,NULL,0.6,1539.3,102.4,173.16,0.69,2.42,479.92,NULL,NULL,3.09,3443.11,0.54,0.89,14.95,3.34,1.83,5.9,36.11,NULL,5.97,97.26,131.29,NULL,NULL,68.71
73,474.9,33.93,NULL,6.32,NULL,NULL,29.01,68.04,15.71,10.2,0.0,5.51,5.09,591.16,NULL,0.42,1216.94,68.69,89.12,0.47,5.47,357.3,NULL,NULL,4.7,2365.58,0.23,0.4,10.1,2.14,1.04,1.06,62.87,NULL,5.17,278.22,119.82,NULL,NULL,42.16
74,300.57,19.87,NULL,4.31,NULL,NULL,25.34,68.04,4.85,3.57,0.0,1.28,2.18,261.55,NULL,0.16,608.2,36.51,46.58,0.15,4.55,254.91,NULL,NULL,2.29,923.02,0.12,0.16,7.58,0.83,0.79,1.03,17.12,NULL,2.92,52.27,35.79,NULL,NULL,33.89
75,728.19,50.52,NULL,24.27,NULL,NULL,52.4,235.24,11.89,9.84,2.06,2.06,6.62,390.19,NULL,0.31,1157.42,80.51,108.47,0.19,4.07,602.97,NULL,NULL,1.93,3460.87,1.59,0.65,18.87,2.19,2.02,1.39,100.23,2.11,2.76,18.89,40.79,NULL,NULL,78.52
76,941.48,70.54,NULL,25.91,NULL,NULL,48.35,172.76,27.51,21.63,0.0,5.87,11.89,718.38,NULL,0.49,1229.95,90.26,92.31,0.58,9.1,532.54,NULL,NULL,5.44,10646.43,0.56,0.9,20.03,2.13,0.68,5.25,40.28,0.27,3.12,42.53,115.44,NULL,NULL,51.38
77,502.58,38.23,NULL,5.64,NULL,NULL,25.34,52.04,20.58,6.37,0.0,14.2,3.15,1539.02,NULL,0.37,1340.52,120.62,92.92,1.45,8.18,368.58,NULL,NULL,2.44,1301.5,0.21,0.35,5.08,3.31,0.77,10.22,70.14,NULL,4.91,122.23,233.49,NULL,NULL,42.41
78,491.85,43.3,NULL,14.74,NULL,NULL,20.62,83.62,6.67,4.29,0.0,2.38,1.66,295.05,NULL,0.89,435.76,56.11,48.9,0.29,3.62,240.36,NULL,NULL,3.33,1105.11,0.18,0.3,8.07,0.86,0.26,2.31,21.28,NULL,2.86,75.7,37.3,NULL,NULL,22.13
79,855.96,68.47,NULL,23.39,NULL,NULL,40.36,144.87,20.58,14.91,0.0,5.67,11.73,854.52,NULL,0.53,1369.7,88.12,92.49,0.7,7.92,494.97,NULL,NULL,5.47,5534.84,0.39,1.0,17.81,3.41,0.57,4.72,20.27,0.44,3.71,89.8,171.21,NULL,NULL,50.2
80,505.18,32.22,NULL,10.14,NULL,NULL,44.19,151.16,8.64,6.6,0.0,2.04,3.36,431.89,NULL,0.12,834.05,58.69,44.27,0.31,15.75,438.48,NULL,NULL,6.16,354.66,0.26,0.54,7.92,2.31,0.91,11.46,36.46,NULL,1.41,76.0,19.72,NULL,NULL,69.4
81,413.62,31.31,NULL,4.72,NULL,NULL,23.38,56.45,12.12,4.82,0.0,7.3,2.08,1117.07,NULL,0.24,783.64,90.2,78.25,1.26,7.5,316.68,NULL,NULL,1.68,227.09,0.14,0.19,3.07,1.88,0.47,10.23,23.25,NULL,2.82,56.78,138.56,NULL,NULL,42.33
82,382.65,30.13,NULL,7.11,NULL,NULL,20.07,55.7,11.53,4.42,0.0,7.11,1.51,379.17,NULL,0.25,844.37,56.07,30.47,0.28,1.97,266.75,NULL,NULL,1.36,887.88,0.21,0.27,9.47,2.13,0.87,0.55,23.59,0.2,2.44,23.71,105.03,NULL,NULL,21.22
