rating_id,user_id,recipe_id,rating,feedback
102,81,341,2,"This is feedback for recipe 341 by user 81."
103,81,336,5,"This is feedback for recipe 336 by user 81."
104,81,426,4,"This is feedback for recipe 426 by user 81."
105,81,97,3,"This is feedback for recipe 97 by user 81."
106,60,72,4,"This is feedback for recipe 72 by user 60."
107,60,336,2,"This is feedback for recipe 336 by user 60."
108,60,136,1,"This is feedback for recipe 136 by user 60."
109,60,349,1,"This is feedback for recipe 349 by user 60."
110,60,153,1,"This is feedback for recipe 153 by user 60."
111,60,273,1,"This is feedback for recipe 273 by user 60."
112,60,196,1,"This is feedback for recipe 196 by user 60."
113,60,302,2,"This is feedback for recipe 302 by user 60."
114,60,311,1,"This is feedback for recipe 311 by user 60."
115,80,169,2,"This is feedback for recipe 169 by user 80."
116,80,125,4,"This is feedback for recipe 125 by user 80."
117,80,470,2,"This is feedback for recipe 470 by user 80."
118,80,284,5,"This is feedback for recipe 284 by user 80."
119,80,365,2,"This is feedback for recipe 365 by user 80."
120,80,229,2,"This is feedback for recipe 229 by user 80."
121,80,458,3,"This is feedback for recipe 458 by user 80."
122,69,291,5,"This is feedback for recipe 291 by user 69."
123,69,500,1,"This is feedback for recipe 500 by user 69."
124,52,42,3,"This is feedback for recipe 42 by user 52."
125,52,144,3,"This is feedback for recipe 144 by user 52."
126,52,67,4,"This is feedback for recipe 67 by user 52."
127,52,224,5,"This is feedback for recipe 224 by user 52."
128,52,222,3,"This is feedback for recipe 222 by user 52."
129,76,261,3,"This is feedback for recipe 261 by user 76."
130,76,335,4,"This is feedback for recipe 335 by user 76."
131,72,125,4,"This is feedback for recipe 125 by user 72."
132,72,270,5,"This is feedback for recipe 270 by user 72."
133,72,367,5,"This is feedback for recipe 367 by user 72."
134,72,87,2,"This is feedback for recipe 87 by user 72."
135,72,376,1,"This is feedback for recipe 376 by user 72."
136,72,231,5,"This is feedback for recipe 231 by user 72."
137,72,284,4,"This is feedback for recipe 284 by user 72."
138,72,289,1,"This is feedback for recipe 289 by user 72."
139,72,485,1,"This is feedback for recipe 485 by user 72."
140,72,279,5,"This is feedback for recipe 279 by user 72."
141,88,201,5,"This is feedback for recipe 201 by user 88."
142,88,327,1,"This is feedback for recipe 327 by user 88."
143,88,160,1,"This is feedback for recipe 160 by user 88."
144,88,91,3,"This is feedback for recipe 91 by user 88."
145,88,254,1,"This is feedback for recipe 254 by user 88."
146,88,318,5,"This is feedback for recipe 318 by user 88."
147,88,386,5,"This is feedback for recipe 386 by user 88."
148,58,413,1,"This is feedback for recipe 413 by user 58."
149,58,390,3,"This is feedback for recipe 390 by user 58."
150,58,279,1,"This is feedback for recipe 279 by user 58."
151,85,3,4,"This is feedback for recipe 3 by user 85."
152,85,472,2,"This is feedback for recipe 472 by user 85."
153,85,4,2,"This is feedback for recipe 4 by user 85."
154,85,423,1,"This is feedback for recipe 423 by user 85."
155,85,202,5,"This is feedback for recipe 202 by user 85."
156,85,208,4,"This is feedback for recipe 208 by user 85."
157,79,135,5,"This is feedback for recipe 135 by user 79."
158,79,75,1,"This is feedback for recipe 75 by user 79."
159,79,225,1,"This is feedback for recipe 225 by user 79."
160,79,389,2,"This is feedback for recipe 389 by user 79."
161,73,26,3,"This is feedback for recipe 26 by user 73."
162,73,97,5,"This is feedback for recipe 97 by user 73."
163,73,137,1,"This is feedback for recipe 137 by user 73."
164,73,157,5,"This is feedback for recipe 157 by user 73."
165,73,457,2,"This is feedback for recipe 457 by user 73."
166,89,462,4,"This is feedback for recipe 462 by user 89."
167,89,146,1,"This is feedback for recipe 146 by user 89."
168,89,503,2,"This is feedback for recipe 503 by user 89."
169,89,102,5,"This is feedback for recipe 102 by user 89."
170,89,117,1,"This is feedback for recipe 117 by user 89."
171,89,236,3,"This is feedback for recipe 236 by user 89."
172,89,479,2,"This is feedback for recipe 479 by user 89."
173,94,30,4,"This is feedback for recipe 30 by user 94."
174,94,349,5,"This is feedback for recipe 349 by user 94."
175,94,231,4,"This is feedback for recipe 231 by user 94."
176,56,285,5,"This is feedback for recipe 285 by user 56."
177,100,272,1,"This is feedback for recipe 272 by user 100."
178,78,144,1,"This is feedback for recipe 144 by user 78."
179,78,188,5,"This is feedback for recipe 188 by user 78."
180,78,359,1,"This is feedback for recipe 359 by user 78."
181,78,339,4,"This is feedback for recipe 339 by user 78."
182,78,110,4,"This is feedback for recipe 110 by user 78."
183,78,86,5,"This is feedback for recipe 86 by user 78."
184,63,414,3,"This is feedback for recipe 414 by user 63."
185,63,247,1,"This is feedback for recipe 247 by user 63."
186,63,379,5,"This is feedback for recipe 379 by user 63."
187,68,414,4,"This is feedback for recipe 414 by user 68."
188,68,275,3,"This is feedback for recipe 275 by user 68."
189,68,310,1,"This is feedback for recipe 310 by user 68."
190,68,217,2,"This is feedback for recipe 217 by user 68."
191,68,267,2,"This is feedback for recipe 267 by user 68."
192,59,379,2,"This is feedback for recipe 379 by user 59."
193,59,275,1,"This is feedback for recipe 275 by user 59."
194,59,288,1,"This is feedback for recipe 288 by user 59."
195,82,7,3,"This is feedback for recipe 7 by user 82."
196,82,117,2,"This is feedback for recipe 117 by user 82."
197,82,342,5,"This is feedback for recipe 342 by user 82."
198,99,294,2,"This is feedback for recipe 294 by user 99."
199,99,475,2,"This is feedback for recipe 475 by user 99."
200,99,76,3,"This is feedback for recipe 76 by user 99."
201,99,298,5,"This is feedback for recipe 298 by user 99."
202,57,31,5,"This is feedback for recipe 31 by user 57."
203,57,344,1,"This is feedback for recipe 344 by user 57."
204,57,487,1,"This is feedback for recipe 487 by user 57."
205,57,419,5,"This is feedback for recipe 419 by user 57."
206,57,470,5,"This is feedback for recipe 470 by user 57."
207,86,421,5,"This is feedback for recipe 421 by user 86."
208,86,150,5,"This is feedback for recipe 150 by user 86."
209,86,68,3,"This is feedback for recipe 68 by user 86."
210,86,331,2,"This is feedback for recipe 331 by user 86."
211,54,185,2,"This is feedback for recipe 185 by user 54."
212,54,5,3,"This is feedback for recipe 5 by user 54."
213,54,163,1,"This is feedback for recipe 163 by user 54."
214,54,82,4,"This is feedback for recipe 82 by user 54."
215,54,37,5,"This is feedback for recipe 37 by user 54."
216,54,205,4,"This is feedback for recipe 205 by user 54."
217,54,183,4,"This is feedback for recipe 183 by user 54."
218,54,488,5,"This is feedback for recipe 488 by user 54."
219,54,400,4,"This is feedback for recipe 400 by user 54."
220,91,414,2,"This is feedback for recipe 414 by user 91."
221,91,324,3,"This is feedback for recipe 324 by user 91."
222,91,463,2,"This is feedback for recipe 463 by user 91."
223,91,397,5,"This is feedback for recipe 397 by user 91."
224,91,407,2,"This is feedback for recipe 407 by user 91."
225,91,466,5,"This is feedback for recipe 466 by user 91."
226,91,467,2,"This is feedback for recipe 467 by user 91."
227,91,442,5,"This is feedback for recipe 442 by user 91."
228,65,448,3,"This is feedback for recipe 448 by user 65."
229,65,370,2,"This is feedback for recipe 370 by user 65."
230,65,129,1,"This is feedback for recipe 129 by user 65."
231,65,52,4,"This is feedback for recipe 52 by user 65."
232,65,167,2,"This is feedback for recipe 167 by user 65."
233,65,295,1,"This is feedback for recipe 295 by user 65."
234,65,237,2,"This is feedback for recipe 237 by user 65."
235,65,55,1,"This is feedback for recipe 55 by user 65."
236,71,384,2,"This is feedback for recipe 384 by user 71."
237,71,357,2,"This is feedback for recipe 357 by user 71."
238,71,314,5,"This is feedback for recipe 314 by user 71."
239,71,19,3,"This is feedback for recipe 19 by user 71."
240,71,483,2,"This is feedback for recipe 483 by user 71."
241,71,454,3,"This is feedback for recipe 454 by user 71."
242,71,240,4,"This is feedback for recipe 240 by user 71."
243,71,306,4,"This is feedback for recipe 306 by user 71."
244,71,311,3,"This is feedback for recipe 311 by user 71."
245,71,323,4,"This is feedback for recipe 323 by user 71."
246,51,244,1,"This is feedback for recipe 244 by user 51."
247,51,215,5,"This is feedback for recipe 215 by user 51."
248,51,87,1,"This is feedback for recipe 87 by user 51."
249,51,13,4,"This is feedback for recipe 13 by user 51."
250,51,59,5,"This is feedback for recipe 59 by user 51."
251,66,244,4,"This is feedback for recipe 244 by user 66."
252,66,402,2,"This is feedback for recipe 402 by user 66."
253,66,71,4,"This is feedback for recipe 71 by user 66."
254,66,349,4,"This is feedback for recipe 349 by user 66."
255,153,50,4,"Good recipe"
256,155,143,5,"nice tasty"
257,157,157,4,tasty
258,161,157,4,tasty
259,167,143,4,good
260,168,55,5,Tasty
261,170,143,5,"Very tasty "
